CODIGO,MET,CATEGORIA,ACTIVIDAD ESPECIFICA
03022,10.0,Danza/Baile,"Aerobic dance utilizando 4.5-7 kg"
03025,4.5,Danza/Baile,"Danzas étnicas (ej: Griega, Medio Este, hula, salsa, merengue, bamba y plena, flamenco, danza Árabe, swing)"
03030,5.5,Danza/Baile,"Baile de salón, rápido (Código Taylor 125)"
03031,7.8,Danza/Baile,"Danza en general (ej: disco, folcklore, danza irlandesa, polka, danza en línea, contra, country)"
03038,11.3,Danza/Baile,"Baile de salón, competitivo, general"
03040,3.0,Danza/Baile,"Baile de salón, lento (ej: Vals, foxtrot, baile lento, samba, tango, danza del siglo XIX, mambo, cha cha cha)"
03050,5.5,Danza/Baile,"Danza Anishinaabe"
03060,3.5,Danza/Baile,"Danza Caribeana (Abakua, Beguine, Bellair, Bongo, Brukin's, Caribbean Quadrills, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina, Oreisha, Jambu)"
04001,3.5,Caza y Pesca,"Pesca, general"
04005,4.5,Caza y Pesca,"Pesca, pesca de cangrejo"
04007,4.0,Caza y Pesca,"Pesca, caza manual"
04010,4.3,Caza y Pesca,"Actividades vinculadas a la pesca, búsqueda de lombrices, con pala"
04020,4.0,Caza y Pesca,"Pesca costera y caminando"
04030,2.0,Caza y Pesca,"Pesca desde bote o canoa, sentado"
04040,3.5,Caza y Pesca,"Pesca costera, de pie (Código Taylor 660)"
04050,6.0,Caza y Pesca,"Pesca en arroyo, usando waders (Código Taylor 670)"
04060,2.0,Caza y Pesca,"Pesca, en hielo, sentado"
04061,1.8,Caza y Pesca,"Pesca, con mosca o línea, de pie, general"
04062,3.5,Caza y Pesca,"Pesca, con red hundida, hundir la red y recoger, general"
04063,3.8,Caza y Pesca,"Pesca, con red fija, instalar la red y recoger, general"
04064,3.0,Caza y Pesca,"Pesca, Pesca con reel, instalar la red y recoger, general"
04065,2.3,Caza y Pesca,"Pesca con arpón, de pie"
04070,2.5,Caza y Pesca,"Caza, arco y flecha o ballesta"
04080,6.0,Caza y Pesca,"Caza, ciervo, alce, caza mayor (Código Taylor 170)"
04081,11.3,Caza y Pesca,"Caza mayor, transporte de la presa atrapada"
04083,4.0,Caza y Pesca,"Caza de animales marinos de grandes dimensiones"
04085,2.5,Caza y Pesca,"Caza mayor, de pie, movimientos limitados"
04086,2.0,Caza y Pesca,"Caza mayor desde auto, avión o bote"
04090,2.5,Caza y Pesca,"Caza, patos, aves"
04095,3.0,Caza y Pesca,"Caza, de murciélagos, ardillas"
04100,5.0,Caza y Pesca,"Caza, general"
04110,6.0,Caza y Pesca,"Caza, faisán o gallo (Código Taylor 680)"
04115,3.3,Caza y Pesca,"Caza, pájaros"
04120,5.0,Caza y Pesca,"Caza, conejos, ardillas, pollo de llanura, mapache, caza menor (Código Taylor 690)"
04123,3.3,Caza y Pesca,"Caza, puerco, salvaje"
04124,2.0,Caza y Pesca,"Juegos de captura, general"
04125,9.5,Caza y Pesca,"Caza, en excursión con equipo de caza"
04130,2.5,Caza y Pesca,"Tiro con pistola o tiro al plato, de pie"
04140,2.3,Caza y Pesca,"Ejercicios de tiro con rifle, acostado"
04145,2.5,Caza y Pesca,"Ejercicios de tiro con rifle, de rodillas o de pie"
05010,3.3,Actividades Domésticas,"Limpieza, barrido de alfombra o suelo, general"
05011,2.3,Actividades Domésticas,"Limpieza, barrido, lento, esfuerzo ligero"
05012,3.8,Actividades Domésticas,"Limpieza, barrido, lento, esfuerzo moderado"
05020,3.5,Actividades Domésticas,"Limpieza, intensa o profunda (ej: limpieza de auto, vidrios, garage), esfuerzo moderado"
05021,3.5,Actividades Domésticas,"Limpieza, trapeando, de pie, esfuerzo moderado"
05022,3.2,Actividades Domésticas,"Limpieza y lavado de vidrios y ventanas, general"
05023,2.5,Actividades Domésticas,"Trapeo, de pie, esfuerzo ligero"
05024,4.5,Actividades Domésticas,"Encerado de pisos, de pie, caminando lento, usando enceradora eléctrica"
05025,2.8,Actividades Domésticas,"Tareas domésticas múltiples en simultáneo, esfuerzo ligero"
05026,3.5,Actividades Domésticas,"Tareas domésticas múltiples en simultáneo, esfuerzo moderado"
05027,4.3,Actividades Domésticas,"Tareas domésticas múltiples en simultáneo, esfuerzo intenso"
05030,3.3,Actividades Domésticas,"Limpieza, caza o cabaña, general, esfuerzo moderado"
05032,2.3,Actividades Domésticas,"Sacudir o lustrar muebles, general"
05035,3.3,Actividades Domésticas,"Actividades de cocina, general (ej: cocinar, lavar los platos, limpiar), esfuerzo moderado"
05040,2.5,Actividades Domésticas,"Limpieza, general (acomodar, cambiar las sábanas, sacar la basura), esfuerzo ligero"
05041,1.8,Actividades Domésticas,"Lavado de platos, de pie o en general (sin interrupción para realizar otra actividad)"
05042,2.5,Actividades Domésticas,"Lavado de platos, recoger los platos de la mesa, caminando, esfuerzo ligero"
05043,3.3,Actividades Domésticas,"Aspirar, general, esfuerzo moderado"
05044,3.0,Actividades Domésticas,"Matar animales para preparación de alimentos, pequeños"
05045,6.0,Actividades Domésticas,"Matar animales para preparación de alimentos, grandes, esfuerzo intenso"
05046,2.3,Actividades Domésticas,"Cortar y ahumar pescado, secar pescado o carne"
05048,4.0,Actividades Domésticas,"Curtido de pieles, general"
05049,3.5,Actividades Domésticas,"Cocción o preparación de alimentos, esfuerzo moderado"
05050,2.0,Actividades Domésticas,"Cocción o preparación de alimentos, de pie o sentado o en general (sin interrupción para realizar otra actividad), uso de utensillos manuales, esfuerzo ligero"
05051,2.5,Actividades Domésticas,"Servir los alimentos, preparar la mesa, con desplazamiento o de pie"
05052,2.5,Actividades Domésticas,"Cocción o preparación de alimentos, con desplazamiento"
05053,2.5,Actividades Domésticas,"Alimentar animales domésticos"
05055,2.5,Actividades Domésticas,"Movilización de productos alimenticios (ej: transportar alimentos, shopping sin carro de compras), transporte de paquetes"
05056,7.5,Actividades Domésticas,"Transporte de alimentos subiendo escaleras"
05057,3.0,Actividades Domésticas,"Cocinar Pan Indú en horno exterior"
05060,2.3,Actividades Domésticas,"Compra de alimentos con o sin carro de compras, de pie o caminando"
05065,2.3,Actividades Domésticas,"Compras (no alimentos), con o sin carro de compras, de pie o caminando"
05070,1.8,Actividades Domésticas,"Planchado de ropa"
05080,1.3,Actividades Domésticas,"Tejido, costura, esfuerzo ligero, envoltura de regalos, sentado"
05082,2.8,Actividades Domésticas,"Costura a máquina"
05090,2.0,Actividades Domésticas,"Lavado de ropa, doblar o colgar ropa, poner ropa en lavadora o secadora, empacar, lavado de ropa a mano, de pie, esfuerzo ligero"
05092,4.0,Actividades Domésticas,"Lavado de ropa, tendido de ropa, lavado de ropa a mano, esfuerzo moderado"
05095,2.3,Actividades Domésticas,"Lavado de ropa, acomodar ropa, empaquetar ropa, guardar ropa limpia, con desplazamiento"
05100,3.3,Actividades Domésticas,"Tender la cama, cambiar las sábanas"
05110,5.0,Actividades Domésticas,"Recolección y producción de jarabe de arce (incluye transporte de cubetas, madera)"
05120,5.8,Actividades Domésticas,"Movilización de muebles, artículos del hogar, cajas"
05121,5.0,Actividades Domésticas,"Mudanza, movilización de cargas ligeras"
05125,4.8,Actividades Domésticas,"Ordenar la habitación"
05130,3.5,Actividades Domésticas,"Limpieza de pisos, con apoyo de manos y rodillas, limpieza de baño, bañera, esfuerzo moderado"
05131,2.0,Actividades Domésticas,"Limpieza de pisos, con apoyo de manos y rodillas, limpieza de baño, bañera, esfuerzo ligero"
05132,6.5,Actividades Domésticas,"Limpieza de pisos, con apoyo de manos y rodillas, limpieza de baño, bañera, esfuerzo intenso"
05140,4.0,Actividades Domésticas,"Barrido de garage, acera o los exteriores de la casa"
05146,3.5,Actividades Domésticas,"De pie, armar/desarmar cajas, ocasional movilización de productos de la casa livianos, cargar/descargar productos del auto, esfuerzo moderado"
05147,3.0,Actividades Domésticas,"En movimiento, movilización de productos del hogar, esfuerzo moderado"
05148,2.5,Actividades Domésticas,"Regado las plantas"
05149,2.5,Actividades Domésticas,"Encendido de chimenea"
05150,9.0,Actividades Domésticas,"Movilización de productos del hogar subiendo escaleras, transporte de cajas o muebles"
05160,2.0,Actividades Domésticas,"De pie, tareas de esfuerzo ligero (cargar combustible, cambio de foco de luz, etc)"
05165,3.5,Actividades Domésticas,"En movimiento, tareas de esfuerzo moderado, no de limpieza (prepararse para salir, cerrar/llavear la puerta, cerrar ventanas, etc)"
05170,2.2,Actividades Domésticas,"Sentado, juego con niños, esfuerzo ligero (solo los períodos activos)"
05171,2.8,Actividades Domésticas,"De pie, juego con niños, esfuerzo ligero (solo los períodos activos)"
05175,3.5,Actividades Domésticas,"Caminando/corriendo, juego con niños, esfuerzo moderado (solo los períodos activos)"
05180,5.8,Actividades Domésticas,"Caminando/corriendo, juego con niños, esfuerzo intenso (solo los períodos activos)"
05181,3.0,Actividades Domésticas,"Caminar y llevar niños pequeños (niños de 7 kg o más)"
05182,2.3,Actividades Domésticas,"Caminar y llevar niños pequeños (niños de menos de 7 kg)"
05183,2.0,Actividades Domésticas,"De pie, cargando un niño"
05184,2.5,Actividades Domésticas,"Cuidado de niños, bebés, general"
05185,2.0,Actividades Domésticas,"Cuidado de niños, sentado/de rodillas (ej: vistiéndolos, bañándolos, arreglándolos, alimentándolos, ocasionalmente cargándolos), general, esfuerzo ligero"
05186,3.0,Actividades Domésticas,"Cuidado de niños, de pie (ej: vistiéndolos, bañándolos, arreglándolos, alimentándolos, ocasionalmente cargándolos), esfuerzo moderado"
05188,1.5,Actividades Domésticas,"Reclinarse con el bebé"
05189,2.0,Actividades Domésticas,"Amamantar al bebé, sentada o reclinada"
05190,2.5,Actividades Domésticas,"Sentado, jugar con animales, esfuerzo ligero (solo los períodos activos)"
05191,2.8,Actividades Domésticas,"De pie, jugar con animales, esfuerzo ligero (solo los períodos activos)"
05192,3.0,Actividades Domésticas,"Caminar/correr, jugar con animales, general, esfuerzo ligero (solo los períodos activos)"
05193,4.0,Actividades Domésticas,"Caminar/correr, jugar con animales, esfuerzo moderado (solo los períodos activos)"
05194,5.0,Actividades Domésticas,"Caminar/correr, jugar con animales, esfuerzo intenso (solo los períodos activos)"
05195,3.5,Actividades Domésticas,"De pie, bañar al perro"
05197,2.3,Actividades Domésticas,"Cuidado de animales, animales domésticos, general"
05200,4.0,Actividades Domésticas,"Cuidado de mayores, adultos con discapacidad, aseo, vestimenta, traslado desde/hacia la cama (solo los períodos activos)"
05205,2.3,Actividades Domésticas,"Cuidado de mayores, adultos con discapacidad, alimentación, cepillado del cabello, esfuerzo ligero (solo los períodos activos)"
06010,3.0,Reparaciones Domésticas,"Reparaciones aéreas"
06020,4.0,Reparaciones Domésticas,"Mantención de la carrocería automotriz"
06030,3.3,Reparaciones Domésticas,"Reparación automotriz, esfuerzo ligero o moderado"
06040,3.0,Reparaciones Domésticas,"Carpintería, general, taller (Código Taylor 620)"
06050,6.0,Reparaciones Domésticas,"Carpintería, en el exterior de la casa, instalación de canaletas de desagüe (Código Taylor 640)"
06052,3.8,Reparaciones Domésticas,"Carpintería, en el exterior de la casa, construcción de cercas"
06060,3.3,Reparaciones Domésticas,"Carpintería, finalización o restauración de armarios o muebles"
06070,6.0,Reparaciones Domésticas,"Carpintería, serruchado de madera"
06072,4.0,Reparaciones Domésticas,"Carpintería, tareas de remodelación del hogar, esfuerzo moderado"
06074,2.3,Reparaciones Domésticas,"Carpintería, tareas de remodelación del hogar, esfuerzo ligero"
06080,5.0,Reparaciones Domésticas,"Masillado, grietas en madera"
06090,4.5,Reparaciones Domésticas,"Masillado, exceptuando grietas en madera"
06100,5.0,Reparaciones Domésticas,"Limpieza de desagües"
06110,5.0,Reparaciones Domésticas,"Excavación para construcción de garage"
06120,5.0,Reparaciones Domésticas,"Colocación de ventanas anti tormentas"
06122,5.0,Reparaciones Domésticas,"Colgar paneles de yeso en el interior del hogar"
06124,3.0,Reparaciones Domésticas,"Martillar clavos"
06126,2.5,Reparaciones Domésticas,"Reparaciones domésticas, general, esfuerzo ligero"
06127,4.5,Reparaciones Domésticas,"Reparaciones domésticas, general, esfuerzo moderado"
06128,6.0,Reparaciones Domésticas,"Reparaciones domésticas, general, esfuerzo intenso"
06130,4.5,Reparaciones Domésticas,"Colocar o quitar alfombras"
06140,3.8,Reparaciones Domésticas,"Colocar azulejos o linóleo, reparación de electrodomésticos"
06144,3.0,Reparaciones Domésticas,"Reparación de electrodomésticos"
06150,5.0,Reparaciones Domésticas,"Pintura, en el exterior del hogar (Código Taylor 650)"
06160,3.3,Reparaciones Domésticas,"Pintura, en el interior del hogar, empapelado, quitar pintura de una superficie"
06165,4.5,Reparaciones Domésticas,"Pintura (Código Taylor 630)"
06167,3.0,Reparaciones Domésticas,"Plomería, general"
06170,3.0,Reparaciones Domésticas,"Colocar y quitar la lona cobertora de un velero"
06180,6.0,Reparaciones Domésticas,Techado
06190,4.5,Reparaciones Domésticas,"Pulir pisos con pulidora eléctrica"
06200,4.5,Reparaciones Domésticas,"Despintar y pintar veleros o lanchas de motor"
06205,2.0,Reparaciones Domésticas,"Afilado de herramientas"
06210,5.0,Reparaciones Domésticas,"Esparcir tierra con pala"
06220,4.5,Reparaciones Domésticas,"Lavado y encerado externo de veleros o aviones"
06225,2.0,Reparaciones Domésticas,"Lavado y encerado de autos"
06230,4.5,Reparaciones Domésticas,"Lavado de cercos, pintura de cercos, esfuerzo moderado"
06240,3.3,Reparaciones Domésticas,"Cableado, instalación eléctrica"
07010,1.0,Inactividad,"Descansar en silencio y mirar televisión"
07011,1.3,Inactividad,"Descansar en silencio, sin realizar actividad, despierto sobre la cama, escuchando música (sin hablar o leer)"
07020,1.3,Inactividad,"Mirar televisión, sentado en silencio"
07021,1.3,Inactividad,"Sentado, en silencio, general"
07022,1.5,Inactividad,"Sentado en silencio, algunos movimientos, general, moviendo las manos"
07023,1.8,Inactividad,"Sentado, moviendo los pies"
07024,1.3,Inactividad,"Sentado, fumando"
07025,1.5,Inactividad,"Sentado, escuchando música (sin hablar o leer)"
07026,1.3,Inactividad,"Sentado en el escritorio, apoyando la cabeza sobre las manos"
07030,0.95,Inactividad,Dormir
07040,1.3,Inactividad,"De pie en silencio, esperando en una hilera"
07041,1.8,Inactividad,"De pie, realizando algunos movimientos"
07050,1.3,Inactividad,"Recostado, escribiendo"
07060,1.3,Inactividad,"Recostado, conversando o hablando por teléfono"
07070,1.3,Inactividad,"Recostado, leyendo"
07075,1.0,Inactividad,Meditación
08009,3.3,Césped y Jardín,"Transporte, carga o apilamiento de madera, carga/descarga o transporte de madera, esfuerzo ligero a moderado"
08010,5.5,Césped y Jardín,"Transporte, carga o apilamiento de madera, carga/descarga o transporte de madera"
08019,4.5,Césped y Jardín,"Corte de madera, tala de troncos, esfuerzo moderado"
08020,6.3,Césped y Jardín,"Corte de madera, tala de troncos, esfuerzo intenso"
08025,3.5,Césped y Jardín,"Recorte de arbustos pequeños, recorte de césped, esfuerzo moderado"
08030,6.3,Césped y Jardín,"Arreglo de arbustos/terreno, trabajo de la tierra, maleza, o terreno, recoger ramas, tareas con carretilla, esfuerzo intenso"
08040,5.0,Césped y Jardín,"Excavar un arenero, usando pala"
08045,3.5,Césped y Jardín,"Excavar, uso de pala, relleno del jardín, abono de tierra, esfuerzo ligero a moderado"
08050,5.0,Césped y Jardín,"Excavar, uso de pala, relleno del jardín, abono de tierra (Código Taylor 590)"
08052,7.8,Césped y Jardín,"Excavar, uso de pala, relleno del jardín, abono de tierra, esfuerzo intenso"
08055,2.8,Césped y Jardín,"Conducir un tractor"
08057,8.3,Césped y Jardín,"Talado de árboles, gran tamaño"
08058,5.3,Césped y Jardín,"Talado de árboles, tamaño pequeño a mediano"
08060,5.8,Césped y Jardín,"Jardinería con herramientas eléctricas pesadas, cultivo de jardín, uso de motosierra"
08065,2.3,Césped y Jardín,"Jardinería, uso de containers, personas mayores de 60 años"
08070,4.0,Césped y Jardín,"Canales de riego, apertura y cierre de puertos"
08080,6.3,Césped y Jardín,"Colocación de piedras pequeñas para jardín"
08090,5.0,Césped y Jardín,"Colocación de césped"
08095,5.5,Césped y Jardín,"Corte de césped, general"
08100,2.5,Césped y Jardín,"Corte de césped, conducir una cortadora de césped (Código Taylor 550)"
08110,6.0,Césped y Jardín,"Corte de césped, caminando, con cortadora manual (Código Taylor 570)"
08120,5.0,Césped y Jardín,"Corte de césped, caminando, con cortadora eléctrica, esfuerzo moderado o vigoroso"
08125,4.5,Césped y Jardín,"Corte de césped, con cortadora eléctrica, esfuerzo ligero o moderado (Código Taylor 590)"
08130,2.5,Césped y Jardín,"Uso de máquina quitanieve, caminando"
08135,2.0,Césped y Jardín,"Plantar, abono de tierra, plantación de semillas o plantas, esfuerzo ligero"
08140,4.3,Césped y Jardín,"Plantación de semillas, arbustos, agachado, esfuerzo moderado"
08145,4.3,Césped y Jardín,"Plantación de frutas, vegetales o plantas, agachado, esfuerzo moderado"
08150,4.5,Césped y Jardín,"Plantación de árboles"
08160,3.8,Césped y Jardín,"Rastrillado de hojas o césped, esfuerzo moderado"
08165,4.0,Césped y Jardín,"Rastrillado de césped (Código Taylor 600)"
08170,4.0,Césped y Jardín,"Rastrillado de techo con rastrillo de nieve"
08180,3.0,Césped y Jardín,"Conducción de máquina quitanieve"
08190,4.0,Césped y Jardín,"Embolsado de césped, hojas"
08192,5.5,Césped y Jardín,"Uso de la pala en lodo o suciedad"
08195,5.3,Césped y Jardín,"Uso de la pala en nieve, a mano, esfuerzo moderado"
08200,6.0,Césped y Jardín,"Uso de la pala en nieve, a mano (Código Taylor 610)"
08202,7.5,Césped y Jardín,"Uso de la pala en nieve, a mano, esfuerzo intenso"
08210,4.0,Césped y Jardín,"Recorte de arbustos o árboles, corte manual"
08215,3.5,Césped y Jardín,"Recorte de arbustos o árboles, con cortadora eléctrica, uso de sopladores de hojas, bordeadoras, esfuerzo moderado"
08220,3.0,Césped y Jardín,"Caminando, aplicación de fertilizante o sembrado, aplicador a presión"
08230,1.5,Césped y Jardín,"Riego de césped o jardín, de pie o caminando"
08239,3.5,Césped y Jardín,"Desmalezado, cultivo del jardín, esfuerzo ligero a moderado"
08240,4.5,Césped y Jardín,"Desmalezado, cultivo del jardín (Código Taylor 580)"
08241,5.0,Césped y Jardín,"Desmalezado, cultivo del jardín, uso de la azada, esfuerzo moderado a intenso"
08245,3.8,Césped y Jardín,"Jardinería, general, esfuerzo moderado"
08246,3.5,Césped y Jardín,"Recolección de frutas de árboles, recolección de frutas/vegetales, esfuerzo moderado"
08248,4.5,Césped y Jardín,"Recolección de frutas de árboles, cosecha de frutas, recolección de frutas/vegetales, uso de escalera para recolección de frutas, esfuerzo intenso"
08250,3.3,Césped y Jardín,"Cuidado del jardín, esfuerzo ligero, recolección de flores o vegetales, caminando/de pie"
08251,3.0,Césped y Jardín,"Recolección de herramientas de jardinería, caminando"
08255,5.5,Césped y Jardín,"Empuje de carro de jardinería o carretilla"
08260,3.0,Césped y Jardín,"Jardinería, general, esfuerzo ligero"
08261,4.0,Césped y Jardín,"Jardinería, general, esfuerzo moderado"
08262,6.0,Césped y Jardín,"Jardinería, general, esfuerzo intenso"
09000,1.5,Misceláneas,"Juegos de mesa, sentado"
09005,2.5,Misceláneas,"Juegos en casino, de pie"
09010,1.5,Misceláneas,"Juego de cartas, sentado"
09013,1.5,Misceláneas,"Juego de ajedrez, sentado"
09015,1.5,Misceláneas,"Fotocopiado de documentos, de pie"
09020,1.8,Misceláneas,"Dibujo, escritura, pintura, de pie"
09025,1.0,Misceláneas,"Reírse, sentado"
09030,1.3,Misceláneas,"Sentado, lectura de libro, periódico, etc"
09040,1.3,Misceláneas,"Sentado, escritura, trabajo de escritorio, tipeo"
09045,1.0,Misceláneas,"Sentado, uso de video juegos tradicionales, juegos en computadora"
09050,1.8,Misceláneas,"De pie, conversación, en persona, al teléfono, computadora o mensaje de texto, esfuerzo ligero"
